Day_Type,Transfer_Efficiency,Discharge_Effectiveness,Pipeline_Throughput,System_Backlog
Weekday,0.689020302619227,0.02271054373747621,2.4610423182755916,6274.272881355932
Weekend,0.700082547079712,0.028395547756812346,2.656279378844254,6044.407692307693
