Metric,Value
Average Transfer Efficiency,0.6910176523134811
Average Discharge Effectiveness,0.023737002796523007
Average Pipeline Throughput,2.4962934542116
Average System Backlog,6232.769444444444
Average Backlog Accumulation,-79.88333333333334
Outcome Stability Score,0.013309979460392514
Total Bottleneck Days,128.0
